name,abbr
ACCESS,ACCS
ALLEY,ALLY
ALLEYWAY,ALWY
AMBLE,AMBL
APPROACH,APP
ARCADE,ARC
ARTERIAL,ARTL
ARTERY,ARTY
AVENUE,AVE
BANAN,BA
BEND,BEND
BOARDWALK,BWLK
BOULEVARD,BVD
BOULEVARDE,BVD
BRACE,BR
BRAE,BRAE
BREAK,BRK
BROW,BROW
BYPASS,BYPA
BYWAY,BYWY
CAUSEWAY,CSWY
CENTRE,CTR
CHASE,CH
CIRCLE,CIR
CIRCUIT,CCT
CIRCUS,CRCS
CLOSE,CL
CONCOURSE,CON
COPSE,CPS
CORNER,CRN
CORNER,CNR
COURT,CT
COURTYARD,CTYD
COVE,COVE
CRESCENT,CRES
CRESCENT,CR
CREST,CRST
CROSS,CRSS
CUL-DE-SAC,CDS
CUL-DE-SAC,CSAC
CUTTING,CUTT
DALE,DALE
DIP,DIP
DRIVE,DR
DRIVEWAY,DVWY
EDGE,EDGE
ELBOW,ELB
END,END
ENTRANCE,ENT
ESPLANADE,ESP
EXPRESSWAY,EXP
FAIRWAY,FAWY
FOLLOW,FOLW
FOOTWAY,FTWY
FORMATION,FORM
FREEWAY,FWY
FRONTAGE,FRTG
GAP,GAP
GARDENS,GDNS
GATE,GTE
GLADE,GLDE
GLEN,GLEN
GRANGE,GRA
GREEN,GRN
GROVE,GR
HEIGHTS,HTS
HIGHROAD,HIRD
HIGHWAY,HWY
HILL,HILL
INTERCHANGE,INTG
JUNCTION,JNC
KEY,KEY
LANE,LANE
LANEWAY,LNWY
LINE,LINE
LINK,LINK
LOOKOUT,LKT
LOOP,LOOP
MALL,MALL
MEANDER,MNDR
MEWS,MEWS
MOTORWAY,MTWY
NOOK,NOOK
OUTLOOK,OTLK
PARADE,PDE
PARKWAY,PWY
PASS,PASS
PASSAGE,PSGE
PATH,PATH
PATHWAY,PWAY
PIAZZA,PIAZ
PLACE,PL
PLAZA,PLZA
POCKET,PKT
POINT,PNT
PORT,PORT
PROMENADE,PROM
QUADRANT,QDRT
QUAYS,QYS
RAMBLE,RMBL
REST,REST
RETREAT,RTT
RIDGE,RDGE
RISE,RISE
ROAD,RD
ROTARY,RTY
ROUTE,RTE
ROW,ROW
RUE,RUE
SERVICEWAY,SVWY
SHUNT,SHUN
SPUR,SPUR
SQUARE,SQ
STREET,ST
SUBWAY,SBWY
TARN,TARN
TERRACE,TCE
THOROUGHFARE,THFR
TOLLWAY,TLWY
TOP,TOP
TOR,TOR
TRACK,TRK
TRAIL,TRL
TURN,TURN
UNDERPASS,UPAS
VALE,VALE
VIADUCT,VIAD
VIEW,VIEW
VISTA,VSTA
WALK,WALK
WALKWAY,WKWY
WHARF,WHRF
WYND,WYND
BLVD,BVD
"STREET,",ST
ST.,ST
STREETS,STS
ROADS,RDS
BLVDE,BVD
"OVAL,",OVAL
OVAL,OVAL
AVENUES,AVES
